word,translation,example,level
der Spaß,"веселье, удовольствие",Wir hatten viel Spaß bei der Geburtstagsfeier meines Freundes.,A1
schaffen,"создавать, справляться, успевать","Ich glaube, wir schaffen das noch rechtzeitig.",B1
die Erwartung,ожидание,Die Erwartungen an das neue Projekt sind sehr hoch.,B2
die Lehre,"обучение (у мастера), учение",Nach seiner Lehre als Tischler eröffnete er seine eigene Werkstatt.,B1
bewölkt,облачный,"Der Himmel ist heute sehr bewölkt, es könnte bald regnen.",A2
der Ausweis,удостоверение личности,"Bitte legen Sie Ihren Ausweis vor, wenn Sie die Wohnung betreten.",A2
tauschen,обменивать,"Wir können unsere Plätze tauschen, wenn du möchtest.",A2
die Einbahnstraße,односторонняя улица,In dieser Einbahnstraße ist das Parken nur auf einer Seite erlaubt.,A2
die Freundschaft,дружба,Unsere Freundschaft besteht schon seit vielen Jahren.,A2
das Hähnchen,цыпленок,Zum Abendessen gab es gebratenes Hähnchen mit Kartoffeln.,A1
der Ofen,"печь, духовка",Der Kuchen wird im vorgeheizten Ofen gebacken.,A2
alle,все,Alle Schüler haben die Prüfung bestanden.,A1
die Achtung,"внимание, уважение","Bitte nehmen Sie Achtung auf die Verkehrsschilder, um Unfälle zu vermeiden.",A1
einbrechen,взламывать,Leider ist in der Nacht in das Geschäft eingebrochen worden.,B1
die Breite,ширина,Die Breite des Flusses beträgt etwa 50 Meter.,A2
die Hilfe,помощь,Ich brauche dringend deine Hilfe bei diesem Problem.,A1
mieten,арендовать,Wir möchten ein Auto für unseren Urlaub mieten.,A2
der Termin,встреча,Ich habe morgen um 10 Uhr einen wichtigen Termin beim Zahnarzt.,A1
die Geschwindigkeitsbeschränkung,ограничение скорости,"Achte auf die Geschwindigkeitsbeschränkung, sonst bekommst du eine Strafe.",B1
das Rezept,рецепт,"Ich habe ein neues Rezept für einen Schokoladenkuchen ausprobiert, das sehr gut gelungen ist.",A2
der Beginn,начало,"Der Beginn des Films war etwas langweilig, aber dann wurde es spannend.",A2
die,артикль женского рода,Die Sonne scheint heute sehr hell.,A1
normal,нормальный,Das ist ein ganz normales Verhalten in dieser Situation.,A2
freundlich,"дружелюбный, любезный",Der Verkäufer war sehr freundlich und hilfsbereit.,A2
absolut,абсолютно,"Ich bin absolut sicher, dass wir diese Aufgabe erfolgreich abschließen werden.",B1
das Jahr,год,Im letzten Jahr habe ich viel Neues gelernt und interessante Erfahrungen gesammelt.,A1
der Kopf,голова,Er hat sich den Kopf gestoßen und jetzt tut es weh.,A1
der Halt,"остановка, остановка (поезд, автобус)",Der Zug macht an diesem Bahnhof nur einen kurzen Halt.,A2
planen,планировать,"Wir planen, im Sommer nach Italien zu reisen.",A2
aufstehen,вставать,"Ich muss morgen früh aufstehen, um den Zug zu erwischen.",A1
berufstätig,работающий,Sie ist seit vielen Jahren berufstätig und erfolgreich.,A2
festsetzen,"устанавливать, назначать (цену, наказание)",Die Regierung hat die neuen Preise für Benzin festgesetzt.,B2
halten,держать,Bitte halte die Tür für mich auf.,A2
traurig,грустный,"Er war traurig, weil er seine Freunde vermisste.",A1
das Asyl,"убежище, приют",Die Familie suchte in einem anderen Land Asyl vor dem Krieg.,B1
vorsichtig,осторожный,"Fahr vorsichtig, die Straße ist nass.",A2
der Witz,шутка,"Er erzählte einen lustigen Witz, über den wir alle lachen mussten.",A2
wegen,из-за,Wegen des schlechten Wetters wurde das Konzert abgesagt.,B1
romantisch,романтичный,Das Candle-Light-Dinner bei Kerzenschein war sehr romantisch.,B1
der Mechaniker,механик,Der Mechaniker repariert das Auto in der Werkstatt.,A2
der Vater,отец,Mein Vater hat mir das Fahrradfahren beigebracht.,A1
der Fahrer,водитель,Der Fahrer des Busses hat uns sicher ans Ziel gebracht.,A1
abwaschen,мыть посуду,Nach dem Abendessen muss jemand den Abwasch machen.,A1
kritisch,критичный,Der Lehrer gab dem Schüler eine kritische Rückmeldung zu seiner Arbeit.,B2
der Flughafen,аэропорт,Wir sind am Flughafen von Berlin angekommen.,A1
nebenbei,"между делом, попутно",Er hat nebenbei noch einen Sprachkurs besucht.,B1
der Krieg,война,Der Krieg hat unermessliches Leid über die Bevölkerung gebracht.,A2
die Erholung,"отдых, восстановление",Nach der anstrengenden Woche brauche ich dringend Erholung.,A2
das Kraftwerk,электростанция,Das neue Kraftwerk soll erneuerbare Energien nutzen.,B1
handeln,действовать,"Wir müssen schnell handeln, um die Situation zu retten.",B1
das Gras,трава,Die Kinder spielten ausgelassen auf dem grünen Gras im Park.,A2
erforderlich,необходимый,Für die Bewerbung sind einige Unterlagen erforderlich.,B2
der Held,герой,"Der Held der Geschichte hat viele Gefahren überwunden, um sein Ziel zu erreichen.",B1
der Lohn,зарплата,Nach der erfolgreichen Projektarbeit erhielt jeder Mitarbeiter einen wohlverdienten Lohn.,A2
die Büroklammer,канцелярская скрепка,"Ich brauche eine Büroklammer, um diese Papiere zusammenzuhalten.",A2
interessiert,заинтересованный,Er ist sehr interessiert an diesem Thema.,A2
nähen,шить,Meine Großmutter kann sehr gut Kleider nähen.,A2
pensioniert,пенсионер,Mein Nachbar ist seit letztem Jahr pensioniert.,B2
das Parfüm,парфюм,"Sie trug ein leichtes, blumiges Parfüm.",A2
der Augenblick,"мгновение, момент","In diesem Augenblick erkannte er, dass er einen Fehler gemacht hatte.",A2
fair,справедливый,Er hat sich in der Prüfung sehr fair verhalten.,A2
der Morgen,утро,"Ich stehe jeden Morgen früh auf, um den Sonnenaufgang zu sehen.",A1
die Torte,торт,Zum Geburtstag gab es eine köstliche Schokoladentorte mit frischen Beeren.,A1
reden,"говорить, разговаривать","Wir sollten offen miteinander reden, um unsere Probleme zu lösen.",A2
ausreichend,достаточный,Wir haben ausreichend Lebensmittel für die ganze Woche eingekauft.,B1
erhöhen,повышать,"Die Regierung plant, die Steuern zu erhöhen.",B1
innerhalb,в пределах,Die Lieferung erfolgt normalerweise innerhalb von drei Werktagen.,B1
die Hausfrau,домохозяйка,Die Hausfrau organisiert den Alltag und sorgt für das Wohl der Familie.,A1
genau,точно,"Können Sie mir genau sagen, wann das Treffen stattfindet?",A2
die Möglichkeit,возможность,"Wir sollten jede Möglichkeit nutzen, um unsere Sprachkenntnisse zu verbessern.",A2
falsch,"неправильный, ложный",Deine Antwort ist leider falsch.,A1
der Sportplatz,спортивная площадка,Die Kinder spielen gerne Fußball auf dem Sportplatz hinter der Schule.,A1
der Fachmann,"специалист, профессионал",Für diese komplizierte Reparatur brauchen wir einen echten Fachmann.,B1
geschieden,разведённый,Er ist seit zwei Jahren geschieden und lebt allein.,A2
der Nebel,туман,Der dichte Nebel erschwerte die Sicht auf der Autobahn erheblich.,A2
korrekt,корректный,Bitte gib eine korrekte Antwort auf die Frage.,B1
drüben,"там, по ту сторону",Mein Freund wohnt drüben auf der anderen Straßenseite.,A2
das Gewicht,вес,Das Gewicht des Koffers überschritt die erlaubte Grenze.,A2
entgegenkommen,"идти навстречу, пойти навстречу","Der Vermieter war bereit, uns entgegenzukommen.",B2
die Buchhandlung,книжный магазин,Ich habe gestern in der Buchhandlung ein interessantes Buch gefunden.,A1
ledig,"неженатый, незамужняя",Er ist noch ledig und sucht nach der richtigen Partnerin für sein Leben.,A2
die Nähe,близость,Das Hotel liegt in der Nähe des Stadtzentrums.,A1
interessieren,интересовать,Diese Neuigkeiten interessieren mich sehr.,A2
die Gabel,вилка,"Bitte reichen Sie mir die Gabel, ich möchte meinen Salat essen.",A1
tun,делать,Was wirst du heute Abend tun?,A2
leise,"тихий, тихо","Bitte sprecht leise, die Kinder schlafen.",A1
das Buffet,"буфет, шведский стол",Nach der langen Wanderung freuten wir uns auf das reichhaltige Buffet im Hotel.,A2
gratis,бесплатно,Bei diesem Angebot gibt es eine Zugabe gratis dazu.,A2
der Rest,остаток,"Nach dem Festessen war noch ein großer Rest von Kuchen übrig, den wir am nächsten Tag gegessen haben.",A2
die Gemeinde,"община, муниципалитет","Die Gemeinde hat beschlossen, den Park zu renovieren.",B1
gemeinsam,вместе,"Wir sollten dieses Projekt gemeinsam angehen, um bessere Ergebnisse zu erzielen.",A2
jeden,каждый (винительный падеж мужского рода),Ich treffe ihn jeden Dienstag.,A1
vorwärts,вперёд,"Beweg dich vorwärts, wir haben keine Zeit zu verlieren!",A2
das Stipendium,стипендия,Sie hat ein Stipendium für ihr Auslandsstudium erhalten.,B2
drehen,"вращать, поворачивать","Bitte drehen Sie das Rad, um die Lautstärke zu ändern.",A2
ewig,"вечный, бесконечный",Manche Probleme scheinen ewig zu dauern.,B1
fantastisch,"фантастический, превосходный",Das Essen im neuen Restaurant war fantastisch.,B1
die Demokratie,демократия,"Die Demokratie ist eine Regierungsform, bei der das Volk die Macht hat.",B1
erleichtern,облегчать,Neue Technologien können viele Arbeitsabläufe erleichtern.,B1
das Kennenlernen,знакомство,Das Kennenlernen neuer Leute ist für mich sehr wichtig.,A2
entstehen,"возникать, появляться",Aus dieser Idee könnte etwas Großes entstehen.,B1
das Internet,интернет,Das Internet bietet unzählige Möglichkeiten zur Informationsbeschaffung und Kommunikation.,A1
der Volleyball,волейбол,Wir spielen jeden Samstag Volleyball im Park.,A1
das Recht,право,Jeder Mensch hat das Recht auf freie Meinungsäußerung.,B1
entschlossen,решительный,"Sie war entschlossen, ihr Ziel zu erreichen.",B1
die Einladung,приглашение,Wir haben eine Einladung zur Hochzeit unserer Freunde erhalten.,A2
der Konflikt,конфликт,"Ein offener Dialog kann helfen, einen Konflikt zwischen den Parteien zu lösen.",B1
männlich,мужской,Er hat eine sehr männliche Ausstrahlung und wirkt selbstbewusst.,B1
die Durchsage,объявление (по громкой связи),Bitte beachten Sie die Durchsage am Bahnhof.,A2
die Gewalt,насилие,Gewalt ist keine Lösung für Konflikte.,B2
man,"человек, кто-то","Man sollte immer versuchen, das Beste aus jeder Situation zu machen.",A2
das Gift,яд,"Der Arzt warnte, dass das unbekannte Pulver hochgiftig sein könnte.",B1
sich entschließen,решаться,"Er hat sich endlich entschlossen, die Stadt zu verlassen.",B1
der Baum,дерево,Der alte Baum im Garten spendet im Sommer viel Schatten.,A1
der Bericht,"отчет, доклад",Der Journalist verfasste einen detaillierten Bericht über die aktuelle politische Lage.,A2
das Stockwerk,этаж,Unsere Wohnung befindet sich im dritten Stockwerk.,A1
die Unterkunft,"жильё, проживание",Wir suchen eine günstige Unterkunft für unseren Aufenthalt.,A2
langweilig,скучный,Der Film war leider sehr langweilig und ich bin fast eingeschlafen.,A1
der Reis,рис,Als Beilage zu dem Fischgericht wurde ein aromatischer Basmatireis serviert.,A1
respektieren,уважать,"Es ist wichtig, die Meinungen anderer Menschen zu respektieren, auch wenn man anderer Ansicht ist.",B1
heraus,наружу,Die Katze sprang aus dem Fenster heraus.,A2
wieder,снова,Ich sehe dich später wieder.,A1
das Leder,кожа,Die Jacke ist aus echtem Leder gefertigt und sehr strapazierfähig.,A2
helfen,помогать,Kannst du mir bitte bei den Hausaufgaben helfen?,A1
daher,поэтому,"Er hatte keine Zeit, daher konnte er nicht kommen.",A2
abschreiben,списывать,"Es ist nicht erlaubt, bei der Prüfung von anderen abzuschreiben.",B1
nass,мокрый,Nach dem Regen sind die Straßen nass.,A1
das Fahrzeug,транспортное средство,Das neue Fahrzeug verbraucht deutlich weniger Benzin.,A2
der Fußball,футбол,Am Wochenende spielen wir mit Freunden Fußball im Park.,A1
über,над,Die Brücke führt über den Fluss.,A2
das Abstraktum,абстрактное понятие,"Das Konzept der Gerechtigkeit ist ein komplexes Abstraktum, das unterschiedlich interpretiert werden kann.",B2
anbieten,предлагать,Die Firma bietet ihren Mitarbeitern viele Weiterbildungsmöglichkeiten an.,A2
das Lied,песня,Das neue Lied ihrer Lieblingsband gefällt mir sehr gut.,A1
der Krankenwagen,машина скорой помощи,Der Krankenwagen brachte den Verletzten schnell ins Krankenhaus.,A2
der Friseur,парикмахер,Mein Friseur hat mir eine neue Kurzhaarfrisur empfohlen.,A1
blitzen,сверкать,"Der Blitz begann zu blitzen, und bald darauf fiel der Regen.",B1
das Geschenk,подарок,Sie hat mir ein wunderschönes Geschenk zum Geburtstag gemacht.,A1
der Anbieter,"поставщик, провайдер",Wir suchen einen neuen Anbieter für unsere Energieversorgung.,B1
die Büchse,консервная банка,Kannst du mir bitte die Büchse mit den Erbsen öffnen?,B2
der Himmel,небо,Der Himmel war heute strahlend blau und wolkenlos.,A1
eher,"скорее, раньше","Ich würde eher zu Hause bleiben, als bei diesem schlechten Wetter auszugehen.",A2
bestrafen,наказывать,"Der Lehrer drohte, die Schüler zu bestrafen, wenn sie weiter störten.",B1
bleiben,оставаться,Wir werden heute Abend zu Hause bleiben und einen Film schauen.,A1
der Fisch,рыба,"Am Freitag essen wir traditionell Fisch, weil es ein Fastentag ist.",A1
der Professor,профессор,"Der Professor erklärte die komplexen Theorien so verständlich, dass jeder Student sie nachvollziehen konnte.",A2
sich leisten,позволить себе,Wir können uns dieses teure Auto leider nicht leisten.,B1
die Heimat,родина,"Er träumte davon, eines Tages in seine geliebte Heimat zurückzukehren.",A2
die Zeitschrift,журнал,Diese Zeitschrift hat interessante Artikel über Reisen und Kultur.,A2
beschreiben,описывать,Kannst du mir bitte den Weg zum Bahnhof genauer beschreiben?,A2
teilen,делить,Wir sollten die Kosten fair teilen.,A2
abmachen,"договориться, снять","Wir haben abgemacht, uns am Samstag um 14 Uhr im Café zu treffen.",B1
die Aussprache,произношение,Die Aussprache des deutschen 'ch' kann für Anfänger schwierig sein.,A2
bereits,уже,Ich bin bereits fertig mit meiner Arbeit.,A2
krank,больной,Er ist seit gestern krank und kann nicht zur Arbeit kommen.,A1
die Polizei,полиция,Die Polizei hat den Dieb schnell gefasst.,A1
heiß,горячий,"Der Kaffee ist noch sehr heiß, sei vorsichtig.",A1
nennen,называть,Wie würdest du dieses Gefühl nennen?,A2
die Handlung,сюжет,Die Handlung des Buches ist sehr spannend und überraschend.,B1
nutzen,использовать,Man sollte die freie Zeit sinnvoll nutzen.,B1
husten,кашлять,Er musste wegen seines Hustens zu Hause bleiben.,A1
austragen,"разносить, проводить (соревнование)",Der Briefträger trägt die Post jeden Tag aus.,B1
der Star,звезда (знаменитость),Der berühmte Schauspieler ist ein echter Star in Hollywood.,A2
sprechen,говорить,Ich muss mit dir über etwas Wichtiges sprechen.,A1
die Einnahme,доход,Die Einnahme des Medikaments sollte regelmäßig erfolgen.,B1
das Material,материал,Welches Material wurde für den Bau des Hauses verwendet?,A2
fröhlich,"весёлый, радостный",Sie war den ganzen Tag über sehr fröhlich.,A2
